#Tn5 Gaps
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit tn5gaps bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig BW25113.prot_table transit_res/sum_all_1_BW25113.tab -r Sum
#Data: bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig
#Annotation path: BW25113.prot_table
#Time: 126.894939184
#Essential gene count: 455
#Minimum reads: 1
#Replicate combination method: Sum
#Minimum significant run length: 80
#Expected run length: 5.13993
#Expected max run length: 59.4475978239
#Orf	Name	Desc	k	n	r	ovr	lenovr	pval	padj	call
BW25113_0001	thrL	-	27	63	4	4	6	1.00000	1.00000	Non-essential
BW25113_0002	thrA	bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal)	590	2460	36	36	36	1.00000	1.00000	Non-essential
BW25113_0003	thrB	-	274	930	20	20	20	1.00000	1.00000	Non-essential
BW25113_0004	thrC	-	299	1284	29	29	29	1.00000	1.00000	Non-essential
BW25113_0005	yaaX	-	78	294	16	16	16	1.00000	1.00000	Non-essential
BW25113_0006	yaaA	-	179	774	26	26	26	1.00000	1.00000	Non-essential
BW25113_0007	yaaJ	inner membrane transport protein	374	1428	29	29	29	1.00000	1.00000	Non-essential
BW25113_0008	talB	-	264	951	37	37	37	1.00000	1.00000	Non-essential
BW25113_0009	mog	putative molybdochetalase in molybdopterine biosynthesis	156	585	18	18	18	1.00000	1.00000	Non-essential
BW25113_0010	satP	-	161	564	16	16	16	1.00000	1.00000	Non-essential
BW25113_0011	yaaW	-	171	711	22	22	22	1.00000	1.00000	Non-essential
BW25113_0013	yaaI	-	109	402	23	23	23	1.00000	1.00000	Non-essential
BW25113_0014	dnaK	chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins	114	1914	272	272	272	0.00000	0.00000	Essential
BW25113_0015	dnaJ	chaperone with DnaK%3B heat shock protein	274	1128	33	33	33	1.00000	1.00000	Non-essential
BW25113_0016	insL1	-	360	1110	24	24	24	1.00000	1.00000	Non-essential
BW25113_0018	mokC	regulatory peptide whose translation enables hokC (gef) expression%3B completely contained in another CDS	91	207	7	7	7	1.00000	1.00000	Non-essential
BW25113_0019	nhaA	Na+/H antiporter%2C pH dependent	347	1164	27	27	27	1.00000	1.00000	Non-essential
BW25113_0020	nhaR	-	261	903	24	24	24	1.00000	1.00000	Non-essential
BW25113_0021	insB1	-	205	501	19	19	19	1.00000	1.00000	Non-essential
BW25113_0022	insA	-	111	273	19	19	19	1.00000	1.00000	Non-essential
BW25113_0023	rpsT	-	2	261	139	142	190	0.00000	0.00000	Essential
BW25113_0024	yaaY	-	26	216	35	35	108	0.00001	0.00007	Essential
BW25113_0025	ribF	-	14	939	284	284	284	0.00000	0.00000	Essential
BW25113_0026	ileS	isoleucine tRNA synthetase	25	2814	450	450	450	0.00000	0.00000	Essential
BW25113_0027	lspA	prolipoprotein signal peptidase (SPase II)	8	492	148	148	148	0.00000	0.00000	Essential
BW25113_0028	fkpB	-	59	447	43	43	43	1.00000	1.00000	Non-essential
BW25113_0029	ispH	-	12	948	290	290	290	0.00000	0.00000	Essential
BW25113_0030	rihC	-	226	912	27	27	27	1.00000	1.00000	Non-essential
BW25113_0031	dapB	-	7	819	332	335	437	0.00000	0.00000	Essential
BW25113_0032	carA	-	224	1146	31	31	31	1.00000	1.00000	Non-essential
BW25113_0033	carB	-	728	3219	37	37	37	1.00000	1.00000	Non-essential
BW25113_0034	caiF	transcriptional regulator of cai operon	218	393	11	11	11	1.00000	1.00000	Non-essential
BW25113_0035	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase	153	588	28	28	28	1.00000	1.00000	Non-essential
BW25113_0036	caiD	carnitine racemase	228	783	31	31	31	1.00000	1.00000	Non-essential
BW25113_0037	caiC	probable crotonobetaine/carnitine-CoA ligase	446	1551	29	29	29	1.00000	1.00000	Non-essential
BW25113_0038	caiB	l-carnitine dehydratase	278	1215	23	23	23	1.00000	1.00000	Non-essential
BW25113_0039	caiA	probable carnitine operon oxidoreductase	253	1140	31	31	31	1.00000	1.00000	Non-essential
BW25113_0040	caiT	probable carnitine transporter	421	1512	22	22	22	1.00000	1.00000	Non-essential
BW25113_0041	fixA	probable flavoprotein subunit%2C carnitine metabolism	221	768	34	35	35	1.00000	1.00000	Non-essential
BW25113_0042	fixB	probable flavoprotein subunit%2C carnitine metabolism	186	939	49	49	49	0.99957	1.00000	Non-essential
BW25113_0043	fixC	flavoprotein%3B electron transport	250	1284	29	29	29	1.00000	1.00000	Non-essential
BW25113_0044	fixX	putative ferredoxin	65	285	19	19	19	1.00000	1.00000	Non-essential
BW25113_0045	yaaU	putative transport protein	315	1329	24	24	24	1.00000	1.00000	Non-essential
BW25113_0046	kefF	putative NAD(P)H oxidoreductase	140	528	24	24	24	1.00000	1.00000	Non-essential
BW25113_0047	kefC	K+ efflux antiporter%2C glutathione-regulated	408	1860	32	32	32	1.00000	1.00000	Non-essential
BW25113_0048	folA	dihydrofolate reductase type I%3B trimethoprim resistance	4	477	285	285	314	0.00000	0.00000	Essential
BW25113_0049	apaH	-	190	840	26	26	26	1.00000	1.00000	Non-essential
BW25113_0050	apaG	-	112	375	22	22	22	1.00000	1.00000	Non-essential
BW25113_0051	rsmA	-	179	819	23	23	23	1.00000	1.00000	Non-essential
BW25113_0052	pdxA	pyridoxine biosynthesis	262	987	20	20	20	1.00000	1.00000	Non-essential
BW25113_0053	surA	survival protein	281	1284	22	22	22	1.00000	1.00000	Non-essential
BW25113_0054	lptD	organic solvent tolerance	24	2352	615	615	615	0.00000	0.00000	Essential
BW25113_0055	djlA	-	250	813	18	18	18	1.00000	1.00000	Non-essential
BW25113_0058	rluA	-	188	657	20	20	20	1.00000	1.00000	Non-essential
BW25113_0059	rapA	probable ATP-dependent RNA helicase	779	2904	26	26	26	1.00000	1.00000	Non-essential
BW25113_0060	polB	-	525	2349	35	35	35	1.00000	1.00000	Non-essential
BW25113_0064	araC	transcriptional regulator for ara operon	188	876	34	34	34	1.00000	1.00000	Non-essential
BW25113_0065	yabI	-	171	762	29	29	29	1.00000	1.00000	Non-essential
BW25113_0066	thiQ	putative ATP-binding component of a transport system	162	696	46	46	46	1.00000	1.00000	Non-essential
BW25113_0067	thiP	-	410	1608	32	32	32	1.00000	1.00000	Non-essential
BW25113_0068	thiB	thiamin-binding periplasmic protein%3B periplasmic-binding component of ABC superfamily	192	981	26	26	26	1.00000	1.00000	Non-essential
BW25113_0069	sgrR	putative transport protein	379	1653	38	38	38	1.00000	1.00000	Non-essential
BW25113_0070	setA	-	342	1176	27	27	27	1.00000	1.00000	Non-essential
BW25113_0071	leuD	isopropylmalate isomerase subunit	134	603	33	33	33	1.00000	1.00000	Non-essential
BW25113_0072	leuC	3-isopropylmalate isomerase (dehydratase) subunit	293	1398	34	34	34	1.00000	1.00000	Non-essential
BW25113_0073	leuB	-	277	1089	18	18	18	1.00000	1.00000	Non-essential
BW25113_0074	leuA	-	417	1569	30	30	30	1.00000	1.00000	Non-essential
BW25113_0075	leuL	-	60	84	3	3	3	1.00000	1.00000	Non-essential
BW25113_0076	leuO	probable transcriptional activator for leuABCD operon	588	942	10	10	10	1.00000	1.00000	Non-essential
BW25113_0077	ilvI	acetolactate synthase III%2C valine sensitive%2C large subunit	529	1722	37	37	37	1.00000	1.00000	Non-essential
BW25113_0078	ilvH	acetolactate synthase III%2C valine sensitive%2C small subunit	127	489	27	27	27	1.00000	1.00000	Non-essential
BW25113_0080	cra	transcriptional repressor of fru operon and others	262	1002	31	31	31	1.00000	1.00000	Non-essential
BW25113_0081	mraZ	-	68	456	48	48	48	0.99995	1.00000	Non-essential
BW25113_0082	rsmH	putative apolipoprotein	111	939	30	30	30	1.00000	1.00000	Non-essential
BW25113_0083	ftsL	cell division protein%3B ingrowth of wall at septum	22	363	153	153	153	0.00000	0.00000	Essential
BW25113_0084	ftsI	septum formation%3B penicillin-binding protein 3%3B peptidoglycan synthetase	29	1764	272	272	272	0.00000	0.00000	Essential
BW25113_0085	murE	-	13	1485	545	545	545	0.00000	0.00000	Essential
BW25113_0086	murF	-	15	1356	385	385	385	0.00000	0.00000	Essential
BW25113_0087	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase?	7	1080	440	440	441	0.00000	0.00000	Essential
BW25113_0088	murD	-	23	1314	222	222	222	0.00000	0.00000	Essential
BW25113_0089	ftsW	cell division%3B membrane protein involved in shape determination	33	1242	346	346	346	0.00000	0.00000	Essential
BW25113_0090	murG	-	10	1065	395	395	395	0.00000	0.00000	Essential
BW25113_0091	murC	-	14	1473	427	427	427	0.00000	0.00000	Essential
BW25113_0092	ddlB	D-alanine-D-alanine ligase B%2C affects cell division	115	918	43	43	43	1.00000	1.00000	Non-essential
BW25113_0093	ftsQ	cell division protein%3B ingrowth of wall at septum	24	828	290	290	290	0.00000	0.00000	Essential
BW25113_0094	ftsA	ATP-binding cell division protein%2C septation process%2C complexes with FtsZ%2C associated with junctions of inner and outer membranes	15	1260	283	283	283	0.00000	0.00000	Essential
BW25113_0095	ftsZ	cell division%3B forms circumferential ring%3B tubulin-like GTP-binding protein and GTPase	11	1149	487	487	487	0.00000	0.00000	Essential
BW25113_0096	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase%3B lipid A biosynthesis	15	915	243	243	245	0.00000	0.00000	Essential
