Gene Locus,TA sites,reads,,,
SAOUHSC_00002,88,9,,,
SAOUHSC_00004-recF,95,169,,,
SAOUHSC_00020,58,2,,,
SAOUHSC_00070,68,3824,,,
SAOUHSC_00071,84,2800,,,
SAOUHSC_00093,43,2124,,,
SAOUHSC_00223-tarKp,99,8,,,
SAOUHSC_00225-ispD,68,24,,,
SAOUHSC_00227,150,171,,,
SAOUHSC_00300,149,1938,,,
SAOUHSC_00336,84,6,,,
SAOUHSC_00345,15,3,,,
SAOUHSC_00346-ychF,95,414,,,
SAOUHSC_00348-rpsF,23,1,,,
SAOUHSC_00402,71,1304,,,
SAOUHSC_00412,127,4,,,
SAOUHSC_00414,31,23,,,
SAOUHSC_00440,6,149,,,
SAOUHSC_00475,45,2,,,
SAOUHSC_00480,90,1908,,,
SAOUHSC_00489,62,7,,,
SAOUHSC_00492,9,8,,,
SAOUHSC_00509-gltX,105,6,,,
SAOUHSC_00516-secE,18,1,,,
SAOUHSC_00526,20,0,,,
SAOUHSC_00536-ilvE,96,43,,,
SAOUHSC_00549,70,5,,,
SAOUHSC_00550,50,596,,,
SAOUHSC_00573,64,11,,,
SAOUHSC_00577,69,9,,,
SAOUHSC_00640-tarA,66,5,,,
SAOUHSC_00642-tarG,81,9,,,
SAOUHSC_00659,43,33,,,
SAOUHSC_00673,226,6455,,,
SAOUHSC_00728-ltaS,181,16,,,
SAOUHSC_00741-nrdI,29,0,,,
SAOUHSC_00762-tarO,100,4,,,
SAOUHSC_00781,91,39,,,
SAOUHSC_00789,60,68,,,
SAOUHSC_00790-clpP,44,3,,,
SAOUHSC_00802,59,502,,,
SAOUHSC_00803,188,499,,,
SAOUHSC_00806,41,1562,,,
SAOUHSC_00818,58,1464,,,
SAOUHSC_00847,62,4,,,
SAOUHSC_00867,14,53,,,
SAOUHSC_00878,87,130,,,
SAOUHSC_00883,38,14,,,
SAOUHSC_00897,83,975,,,
SAOUHSC_00902,49,1122,,,
SAOUHSC_00920,75,9,,,
SAOUHSC_00934-spxA,36,4,,,
SAOUHSC_00954,113,12,,,
SAOUHSC_00957,68,16,,,
SAOUHSC_00962,17,357,,,
SAOUHSC_00972,39,1001,,,
SAOUHSC_00999,23,100,,,
SAOUHSC_01001,173,257,,,
SAOUHSC_01007,70,896,,,
SAOUHSC_01009,86,278,,,
SAOUHSC_01015,81,282,,,
SAOUHSC_01028,19,1,,,
SAOUHSC_01029,144,545,,,
SAOUHSC_01037,17,233,,,
SAOUHSC_01038-def,42,12,,,
SAOUHSC_01065,103,432,,,
SAOUHSC_01066,93,113,,,
SAOUHSC_01067,49,601,,,
SAOUHSC_01081,79,1581,,,
SAOUHSC_01085,66,644,,,
SAOUHSC_01099,192,1067,,,
SAOUHSC_01100,23,0,,,
SAOUHSC_01106,68,2,,,
SAOUHSC_01122,18,188,,,
SAOUHSC_01162-lspA,58,237,,,
SAOUHSC_01176-gmk,57,34,,,
SAOUHSC_01203-rnc,57,117,,,
SAOUHSC_01204,282,172,,,
SAOUHSC_01206,32,197,,,
SAOUHSC_01208-rpsP,20,1,,,
SAOUHSC_01214-rbgA,74,5,,,
