#Gumbel
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit gumbel bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab NCTC8325.prot_table transit_no_mismatch/mean_all_blunt.tab -s 20000 -b 1000 -r Mean --no-norm
#Data: bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab
#Annotation path: NCTC8325.prot_table
#FDR Corrected thresholds: 0.993300, 0.045050
#MH Acceptance-Rate:	37.77%
#Total Iterations Performed:	20999
#Sample Size:	20000
#phi estimate:	0.249516
#Time: 804.361941099
#Orf	Name	Desc	k	n	r	s	zbar	Call
SAOUHSC_00001	dnaA	binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication%3B can also affect transcription of multiple genes including itself.	5	113	83	1022	1.000000	E
SAOUHSC_00002	SAOUHSC_00002	binds the polymerase to DNA and acts as a sliding clamp	2	96	94	1102	0.999950	E
SAOUHSC_00003	SAOUHSC_00003	conserved hypothetical protein	9	17	2	22	0.000000	NE
SAOUHSC_00004	recF	Required for DNA replication%3B binds preferentially to single-stranded%2C linear DNA	35	105	9	81	0.000050	NE
SAOUHSC_00005	SAOUHSC_00005	DNA gyrase%2C B subunit	4	159	71	952	0.999500	E
SAOUHSC_00006	SAOUHSC_00006	DNA gyrase%2C A subunit	13	219	160	1841	1.000000	E
SAOUHSC_00007	SAOUHSC_00007	conserved hypothetical protein	37	59	7	92	0.000000	NE
SAOUHSC_00008	SAOUHSC_00008	catalyzes the degradation of histidine to urocanate and ammmonia	83	128	5	68	0.000000	NE
SAOUHSC_00009	SAOUHSC_00009	catalyzes a two-step reaction%2C first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA	10	104	33	392	1.000000	E
SAOUHSC_00010	SAOUHSC_00010	conserved hypothetical protein	47	66	3	10	0.000000	NE
SAOUHSC_00012	SAOUHSC_00012	conserved hypothetical protein	24	36	4	16	0.000000	NE
SAOUHSC_00013	SAOUHSC_00013	conserved hypothetical protein	56	87	4	24	0.000000	NE
SAOUHSC_00014	SAOUHSC_00014	conserved hypothetical protein	67	99	6	47	0.000000	NE
SAOUHSC_00015	SAOUHSC_00015	conserved hypothetical protein	54	163	11	134	0.000350	NE
SAOUHSC_00017	rplI	in Escherichia coli this protein is wrapped around the base of the L1 stalk	21	41	4	30	0.000000	NE
SAOUHSC_00018	SAOUHSC_00018	replicative DNA helicase	3	112	83	1001	1.000000	E
SAOUHSC_00019	SAOUHSC_00019	catalyzes the formation of N6-(1%2C2%2C-dicarboxyethyl)-AMP from L-aspartate%2C inosine monophosphate and GTP in AMP biosynthesis	78	116	7	78	0.000000	NE
SAOUHSC_00020	SAOUHSC_00020	two-component response regulator%2C putative	1	61	33	403	1.000000	E
SAOUHSC_00021	SAOUHSC_00021	sensory box histidine kinase VicK%2C putative	0	169	169	1816	0.864900	U
