	ID	name	annot	nbIns	nbsites	r	ovr	span	pval	postprob	call	insRate	score_ES	score_NE	bayes_ratio	bayes_log	Bayes_class	paper	keio	pec	biotradis	Bayes_class_4
0	BW25113_0001	thrL	-	27	63	4	4	6	1.0	1.0	NE	0.42857142857142855	1.5567966156965802e-07	0.6965818150395465	2.2349084947160116e-07	-22.093280900776975	NE	NE	NE	NE	U	NE
1	BW25113_0002	thrA	bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal)	590	2460	36	36	36	1.0	1.0	NE	0.23983739837398374	0.0002774644922480618	3.6895950062794545	7.520188307275866e-05	-13.698871686660004	NE	NE	NE	NE	U	NE
2	BW25113_0003	thrB	-	274	930	20	20	20	1.0	1.0	NE	0.2946236559139785	3.158674523280572e-05	2.5568978325990215	1.235354218306744e-05	-16.304715703296672	NE	NE	NE	NE	U	NE
3	BW25113_0004	thrC	-	299	1284	29	29	29	1.0	1.0	NE	0.23286604361370716	0.0003658391472967977	3.8219825454960388	9.571973261047873e-05	-13.350824107669835	NE	NE	NE	NE	U	NE
4	BW25113_0005	yaaX	-	78	294	16	16	16	1.0	1.0	NE	0.2653061224489796	0.00010104256007710844	3.167005512814145	3.190476292771711e-05	-14.935868660500994	NE	NE	NE	NE	U	NE
5	BW25113_0006	yaaA	-	179	774	26	26	26	1.0	1.0	NE	0.23126614987080105	0.0003898060864687713	3.851307467547052	0.00010121396168793655	-13.270304067099874	NE	NE	NE	NE	U	NE
6	BW25113_0007	yaaJ	inner membrane transport protein	374	1428	29	29	29	1.0	1.0	NE	0.2619047619047619	0.0001156360773302479	3.2386392756983833	3.570514264985934e-05	-14.773508592307916	NE	NE	NE	NE	U	NE
7	BW25113_0008	talB	-	264	951	37	37	37	1.0	1.0	NE	0.277602523659306	6.204356644384731e-05	2.9079378108793104	2.13359330490931e-05	-15.51635527152068	NE	NE	NE	NE	U	NE
8	BW25113_0009	mog	putative molybdochetalase in molybdopterine biosynthesis	156	585	18	18	18	1.0	1.0	NE	0.26666666666666666	9.573455819176435e-05	3.1383092722878065	3.0505138240239304e-05	-15.000588205880403	NE	NE	NE	NE	U	NE
9	BW25113_0010	satP	-	161	564	16	16	16	1.0	1.0	NE	0.2854609929078014	4.542901231459417e-05	2.744166026894355	1.6554760852428225e-05	-15.882394304505757	NE	NE	NE	.	U	NE
