Orf ID	Feature Type(1:gene 2:rRNA 3:tRNA 4:ncRNA 7:tmRNA 8:sRNA)	Orf	Alternative name	MapPosition	Start(BP)	End(BP)	Length(BP)	Direction(0:+ 1:-)	Class(1:essential 2:noessential 3:unknown)	PID	Product	PMID
1	1	thrL	b0001,ECK0001,JW4367	0.004095110110938549	190	255	66	0	2	1786182	thr operon leader peptide	
2	1	thrA	b0002,ECK0002,Hs,JW0001,thrA1,thrA2,thrD	0.0072634401731193066	337	2799	2463	0	2	1786183	fused aspartokinase I and homoserine dehydrogenase I	
3	1	thrB	b0003,ECK0003,JW0002	0.06037060171365738	2801	3733	933	0	2	1786184	homoserine kinase	8595869
4	1	thrC	b0004,ECK0004,JW0003	0.08047980070114136	3734	5020	1287	0	2	1786185	threonine synthase	6316258
5	1	yaaX	b0005,ECK0005,JW0004,o98c	0.11281000077724457	5234	5530	297	0	2	1786186	hypothetical protein	
6	1	yaaA	b0006,ECK0006,JW0005	0.12248700112104416	5683	6459	777	1	2	1786187	peroxide resistance protein, lowers intracellular iron	
7	1	yaaJ	b0007,ECK0007,JW0006	0.14072099328041077	6529	7959	1431	1	2	1786188	putative transporter	
8	1	talB	b0008,ECK0008,JW0007,yaaK	0.17755599319934845	8238	9191	954	0	2	1786189	transaldolase B	
9	1	mog	b0009,bisD,chlG,ECK0009,JW0008,mogA,yaaG	0.20057399570941925	9306	9893	588	0	2	1786190	molybdochelatase incorporating molybdenum into molybdopterin	6307982
10	1	yaaH	b0010,ECK0010,JW0009	0.2139810025691986	9928	10494	567	1	2	1786191	inner membrane protein, Grp1_Fun34_YaaH family	
11	1	yaaW	b0011,b0012,ECK0011,f237,htgA,htpY,JW0010	0.22939099371433258	10643	11356	714	1	2	1786193	conserved protein, UPF0174 family	8478327
13	1	yaaI	b0013,ECK0013,JW0012	0.24531899392604828	11382	11786	405	1	2	1786195	conserved protein, UPF0412 family	
14	1	dnaK	b0014,ECK0014,gro,groP,groPAB,groPC,groPF,grpC,grpF,JW0013,seg	0.2621519863605499	12163	14079	1917	0	2	1786196	chaperone Hsp70, co-chaperone with DnaJ	9271843
15	1	dnaJ	b0015,ECK0015,faa,groA,groB,groC,groP,grpC,JW0014	0.30536600947380066	14168	15298	1131	0	2	1786197	chaperone Hsp40, co-chaperone with DnaK	9271843
10000	1	insL1	b0016,ECK0016,insL	0.33289000391960144	15445	16557	1113	0	2	1786198	IS186 transposase	
10001	1	mokC	b0018,ECK4466,gefL,hokC	0.3610379993915558	16751	16960	210	1	2	1786200	regulatory protein for HokC, overlaps CDS of hokC	
18	1	hokC	b0018,b4412,ECK0018,f69,gef,JW5879,mokC	0.3610379993915558	16751	16903	153	1	2	48994874	toxic membrane protein, small	1943701
10002	4	sokC	b4413,ECK0019,JWR0224,sof	0.3653700053691864	16952	17006	55	0	2		sRNA antisense regulator blocking mokC, and hence hokC, translation	
19	1	nhaA	ant,antA,b0019,ECK0020,JW0018	0.37694498896598816	17489	18655	1167	0	2	1786201	sodium-proton antiporter	7823039
20	1	nhaR	antO,b0020,ECK0021,JW0019,yaaB	0.4033690094947815	18715	19620	906	0	2	1786202	DNA-binding transcriptional activator	7823039
10003	1	insB1	b0021,ECK0022,insB	0.42699098587036133	19811	20314	504	1	2	1786203	IS1 transposase B	
10004	1	insA	b0022,ECK0023	0.4360870122909546	20233	20508	276	1	2	1786204	IS1 repressor TnpA	
24	1	rpsT	b0023,ECK0024,JW0022,sup	0.4486309885978699	20815	21078	264	1	2	1786206	30S ribosomal subunit protein S20	7683367
26	1	yaaY	b0024,ECK0025,JW5003,o72	0.4565190076828003	21181	21399	219	0	2	1786207	hypothetical protein	
25	1	ribF	b0025,ECK0026,JW0023,o312,yaaC	0.4613899886608124	21407	22348	942	0	1	1786208	bifunctional riboflavin kinase/FAD synthetase	
27	1	ileS	b0026,ECK0027,ilvS,JW0024	0.4825980067253113	22391	25207	2817	0	1	2367096	isoleucyl-tRNA synthetase	1542687,2580835
28	1	lspA	b0027,ECK0028,JW0025	0.5432919859886169	25207	25701	495	0	1	1786210	prolipoprotein signal peptidase (signal peptidase II)	6227793
29	1	fkpB	b0028,ECK0029,JW0026,slpA,yaaD	0.5566340088844299	25826	26275	450	0	2	1786211	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	
