	ID	name	annot	nbIns	nbsites	insRate	call	Bayes_class	Bayes_class_4	biotradis	Chaudhuri	Santiago	valentino
0	SAOUHSC_00001	dnaA	binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication%3B can also affect transcription of multiple genes including itself.	4	113	0.035398230088495575	E	ES	ES	ES	ES	ES	ES
1	SAOUHSC_00002	SAOUHSC_00002	binds the polymerase to DNA and acts as a sliding clamp	2	96	0.020833333333333332	E	ES	ES	ES	ES	DES	ES
2	SAOUHSC_00003	SAOUHSC_00003	conserved hypothetical protein	3	17	0.17647058823529413	U	U	U	ES	ES	NE	NA
3	SAOUHSC_00004	recF	Required for DNA replication%3B binds preferentially to single-stranded%2C linear DNA	15	105	0.14285714285714285	NE	U	ES	ES	NA	DES	NA
4	SAOUHSC_00005	SAOUHSC_00005	DNA gyrase%2C B subunit	2	159	0.012578616352201259	E	ES	ES	ES	ES	ES	ES
5	SAOUHSC_00006	SAOUHSC_00006	DNA gyrase%2C A subunit	8	219	0.0365296803652968	E	ES	ES	ES	ES	ES	ES
6	SAOUHSC_00007	SAOUHSC_00007	conserved hypothetical protein	26	59	0.4406779661016949	NE	NE	NE	NE	NA	NE	NA
7	SAOUHSC_00008	SAOUHSC_00008	catalyzes the degradation of histidine to urocanate and ammmonia	63	128	0.4921875	NE	NE	NE	NE	NA	NE	NA
8	SAOUHSC_00009	SAOUHSC_00009	catalyzes a two-step reaction%2C first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA	3	104	0.028846153846153848	E	ES	ES	ES	ES	ES	ES
9	SAOUHSC_00010	SAOUHSC_00010	conserved hypothetical protein	41	66	0.6212121212121212	NE	NE	NE	NE	NA	NE	NA
10	SAOUHSC_00012	SAOUHSC_00012	conserved hypothetical protein	20	36	0.5555555555555556	NE	NE	NE	NE	NA	NE	NA
11	SAOUHSC_00013	SAOUHSC_00013	conserved hypothetical protein	46	87	0.5287356321839081	NE	NE	NE	NE	NA	NE	NA
12	SAOUHSC_00014	SAOUHSC_00014	conserved hypothetical protein	57	99	0.5757575757575758	NE	NE	NE	NE	NA	NE	NA
13	SAOUHSC_00015	SAOUHSC_00015	conserved hypothetical protein	16	163	0.09815950920245399	E	U	ES	ES	ES	ES	ES
14	SAOUHSC_00017	rplI	in Escherichia coli this protein is wrapped around the base of the L1 stalk	12	41	0.2926829268292683	NE	U	NE	NE	NA	ES	ES
15	SAOUHSC_00018	SAOUHSC_00018	replicative DNA helicase	3	112	0.026785714285714284	E	ES	ES	ES	ES	ES	ES
16	SAOUHSC_00019	SAOUHSC_00019	catalyzes the formation of N6-(1%2C2%2C-dicarboxyethyl)-AMP from L-aspartate%2C inosine monophosphate and GTP in AMP biosynthesis	63	116	0.5431034482758621	NE	NE	NE	NE	NA	NE	NA
17	SAOUHSC_00020	SAOUHSC_00020	two-component response regulator%2C putative	0	61	0.0	E	ES	ES	ES	ES	DES	ES
18	SAOUHSC_00021	SAOUHSC_00021	sensory box histidine kinase VicK%2C putative	0	169	0.0	E	ES	ES	ES	ES	ES	ES
19	SAOUHSC_00022	SAOUHSC_00022	conserved hypothetical protein	66	107	0.616822429906542	NE	NE	NE	NE	NA	NE	ES
20	SAOUHSC_00023	SAOUHSC_00023	conserved hypothetical protein	36	73	0.4931506849315068	NE	NE	NE	NE	NA	NE	ES
21	SAOUHSC_00024	SAOUHSC_00024	conserved hypothetical protein	33	74	0.44594594594594594	NE	NE	NE	NE	NA	NE	NA
22	SAOUHSC_00025	SAOUHSC_00025	conserved hypothetical protein	93	185	0.5027027027027027	NE	NE	NE	NE	NA	NE	NA
23	SAOUHSC_00026	SAOUHSC_00026	conserved hypothetical protein	13	28	0.4642857142857143	NE	NE	NE	U	NA	NE	NA
24	SAOUHSC_00027	SAOUHSC_00027	SPOUT methyltransferase family protein%3B crystal structure shows homodimer%3B in Escherichia coli this protein methylates pseudouridine at position 1915 of the 23S ribosomal RNA	10	29	0.3448275862068966	NE	NE	NE	U	NA	NE	NA
25	SAOUHSC_00028	SAOUHSC_00028	-	10	17	0.5882352941176471	S	NE	NE	NE	NA	NE	NA
26	SAOUHSC_00029	SAOUHSC_00029	conserved hypothetical protein	4	9	0.4444444444444444	S	NE	NE	NE	NA	NE	NA
27	SAOUHSC_00030	SAOUHSC_00030	conserved hypothetical protein	157	221	0.7104072398190046	NE	NE	NE	NE	NA	NE	NA
28	SAOUHSC_00031	SAOUHSC_00031	conserved hypothetical protein	15	28	0.5357142857142857	NE	NE	NE	NE	NA	NE	NA
29	SAOUHSC_00032	SAOUHSC_00032	conserved hypothetical protein	11	16	0.6875	S	NE	NE	NE	NA	NE	NA
30	SAOUHSC_00033	SAOUHSC_00033	conserved hypothetical protein	75	102	0.7352941176470589	NE	NE	NE	NE	NA	NE	NA
31	SAOUHSC_00034	SAOUHSC_00034	conserved hypothetical protein	10	25	0.4	NE	NE	NE	NE	NA	NE	NA
32	SAOUHSC_00035	SAOUHSC_00035	conserved hypothetical protein	61	102	0.5980392156862745	NE	NE	NE	NE	NA	NE	NA
33	SAOUHSC_00036	SAOUHSC_00036	conserved hypothetical protein	66	125	0.528	NE	NE	NE	NE	NA	NE	NA
34	SAOUHSC_00037	SAOUHSC_00037	conserved hypothetical protein	90	137	0.656934306569343	NE	NE	NE	NE	NA	NE	NA
35	SAOUHSC_00038	SAOUHSC_00038	conserved hypothetical protein	6	9	0.6666666666666666	S	NE	NE	NE	NA	NE	ES
36	SAOUHSC_00039	SAOUHSC_00039	conserved hypothetical protein	28	62	0.45161290322580644	NE	NE	NE	NE	NA	NE	NA
37	SAOUHSC_00040	SAOUHSC_00040	conserved hypothetical protein	13	26	0.5	NE	NE	NE	NE	NA	NE	NA
38	SAOUHSC_00041	SAOUHSC_00041	conserved hypothetical protein	15	29	0.5172413793103449	NE	NE	NE	NE	NA	NE	NA
39	SAOUHSC_00042	SAOUHSC_00042	conserved hypothetical protein	95	145	0.6551724137931034	NE	NE	NE	NE	NA	NE	NA
40	SAOUHSC_00043	SAOUHSC_00043	conserved hypothetical protein	26	49	0.5306122448979592	NE	NE	NE	NE	NA	NE	NA
41	SAOUHSC_00044	SAOUHSC_00044	conserved hypothetical protein	61	101	0.6039603960396039	NE	NE	NE	NE	NA	NE	NA
42	SAOUHSC_00045	SAOUHSC_00045	conserved hypothetical protein	39	62	0.6290322580645161	NE	NE	NE	NE	NA	NE	NA
43	SAOUHSC_00046	SAOUHSC_00046	conserved hypothetical protein	63	96	0.65625	NE	NE	NE	NE	NA	NE	NA
44	SAOUHSC_00047	SAOUHSC_00047	conserved hypothetical protein	40	72	0.5555555555555556	NE	NE	NE	NE	NA	NE	NA
45	SAOUHSC_00049	SAOUHSC_00049	conserved hypothetical protein	188	289	0.6505190311418685	NE	NE	NE	NE	NA	NE	NA
46	SAOUHSC_00050	SAOUHSC_00050	conserved hypothetical protein	28	46	0.6086956521739131	NE	NE	NE	NE	NA	NE	NA
47	SAOUHSC_00051	SAOUHSC_00051	1-phosphatidylinositol phosphodiesterase precursor%2C putative	54	96	0.5625	NE	NE	NE	NE	NA	NE	NA
48	SAOUHSC_00052	SAOUHSC_00052	conserved hypothetical protein	54	84	0.6428571428571429	NE	NE	NE	NE	NA	NE	NA
49	SAOUHSC_00053	SAOUHSC_00053	conserved hypothetical protein	52	81	0.6419753086419753	NE	NE	NE	NE	NA	NE	NA
50	SAOUHSC_00054	SAOUHSC_00054	conserved hypothetical protein	49	74	0.6621621621621622	NE	NE	NE	NE	NA	NE	NA
51	SAOUHSC_00055	SAOUHSC_00055	conserved hypothetical protein	48	79	0.6075949367088608	NE	NE	NE	NE	NA	NE	NA
52	SAOUHSC_00056	SAOUHSC_00056	conserved hypothetical protein	113	179	0.6312849162011173	NE	NE	NE	NE	NA	NE	NA
53	SAOUHSC_00057	SAOUHSC_00057	conserved hypothetical protein	51	84	0.6071428571428571	NE	NE	NE	NE	NA	NE	NA
54	SAOUHSC_00058	SAOUHSC_00058	conserved hypothetical protein	78	129	0.6046511627906976	NE	NE	NE	NE	NA	NE	NA
55	SAOUHSC_00060	SAOUHSC_00060	conserved hypothetical protein	79	140	0.5642857142857143	NE	NE	NE	NE	NA	NE	NA
56	SAOUHSC_00061	SAOUHSC_00061	in group A Streptococci this protein was found to cross react with anti myosin antibodies and may play a role in rheumatic fever	89	151	0.5894039735099338	NE	NE	NE	NE	NA	NE	NA
57	SAOUHSC_00062	SAOUHSC_00062	conserved hypothetical protein	64	103	0.6213592233009708	NE	NE	NE	NE	NA	NE	NA
58	SAOUHSC_00064	SAOUHSC_00064	conserved hypothetical protein	119	169	0.7041420118343196	NE	NE	NE	NE	NA	NE	NA
59	SAOUHSC_00065	SAOUHSC_00065	conserved hypothetical protein	42	57	0.7368421052631579	NE	NE	NE	NE	NA	NE	NA
