locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
SAOUHSC_00001,SAOUHSC_00001,0,517,1878,1,15,0.00293685756240822,1362,4,chromosomal replication initiator protein DnaA
SAOUHSC_00002,SAOUHSC_00002,0,2156,3289,1,4,0.0017636684303351,1134,2,DNA polymerase III, beta subunit
SAOUHSC_00003,SAOUHSC_00003,0,3670,3915,1,2,0.00813008130081301,246,2,conserved hypothetical protein
SAOUHSC_00004,SAOUHSC_00004,0,3912,5024,1,17,0.00988319856244385,1113,11,DNA replication and repair protein, putative
SAOUHSC_00005,SAOUHSC_00005,0,5034,6968,1,2,0.00103359173126615,1935,2,DNA gyrase, B subunit
SAOUHSC_00006,SAOUHSC_00006,0,7005,9668,1,33,0.003003003003003,2664,8,DNA gyrase, A subunit
SAOUHSC_00009,SAOUHSC_00009,0,12786,14072,1,8,0.00233100233100233,1287,3,seryl-tRNA synthetase
SAOUHSC_00015,SAOUHSC_00015,0,18318,20285,1,17,0.00660569105691057,1968,13,conserved hypothetical protein
SAOUHSC_00018,SAOUHSC_00018,0,20766,22166,1,7,0.00214132762312634,1401,3,replicative DNA helicase
SAOUHSC_T00018,SAOUHSC_T00018,0,24157,24231,1,0,0,75,0,
SAOUHSC_00020,SAOUHSC_00020,0,24931,25632,1,0,0,702,0,two-component response regulator, putative
SAOUHSC_00021,SAOUHSC_00021,0,25645,27471,1,0,0,1827,0,sensory box histidine kinase VicK, putative
SAOUHSC_00223,SAOUHSC_00223,0,243805,244974,1,7,0.00170940170940171,1170,2,teichoic acid biosynthesis protein F, putative
SAOUHSC_00225,SAOUHSC_00225,0,245250,245966,1,4,0.00278940027894003,717,2,conserved hypothetical protein
SAOUHSC_00226,SAOUHSC_00226,0,245959,246984,1,29,0.00682261208576998,1026,7,conserved hypothetical protein
SAOUHSC_00227,SAOUHSC_00227,0,247006,248694,1,52,0.0088809946714032,1689,15,conserved hypothetical protein
SAOUHSC_00336,SAOUHSC_00336,0,347866,349047,1,27,0.0050761421319797,1182,6,acetyl-CoA acetyltransferase, putative
SAOUHSC_00345,SAOUHSC_00345,0,358797,359000,1,8,0.00980392156862745,204,2,conserved hypothetical protein
SAOUHSC_00348,SAOUHSC_00348,0,360630,360926,1,12,0.00336700336700337,297,1,ribosomal protein S6
SAOUHSC_00349,SAOUHSC_00349,0,360947,361450,1,0,0,504,0,bacteriophage L54a, single-stranded DNA binding protein
SAOUHSC_00350,SAOUHSC_00350,0,361502,361744,1,11,0.00823045267489712,243,2,ribosomal protein S18
SAOUHSC_00374,SAOUHSC_00374,0,380213,381679,1,23,0.00613496932515337,1467,9,inosine-5'-monophosphate dehydrogenase
SAOUHSC_00375,SAOUHSC_00375,0,381704,383245,1,61,0.0012970168612192,1542,2,GMP synthase, putative
