Gene Locus,TA sites,reads,,,,
SAOUHSC_00003,16,8,,,,
SAOUHSC_00007,56,1149,,,,
SAOUHSC_00008,118,1406,,,,
SAOUHSC_00010,64,1504,,,,
SAOUHSC_00012,34,568,,,,
SAOUHSC_00013,78,1287,,,,
SAOUHSC_00014,95,3438,,,,
SAOUHSC_00019,110,2307,,,,
SAOUHSC_00022-yycH,99,589,,,,
SAOUHSC_00023-yycI,69,952,,,,
SAOUHSC_00024,68,703,,,,
SAOUHSC_00025,168,3038,,,,
SAOUHSC_00026,27,123,,,,
SAOUHSC_00027,8,32,,,,
SAOUHSC_00028,17,708,,,,
SAOUHSC_00029,4,350,,,,
SAOUHSC_00030,207,8932,,,,
SAOUHSC_00031,26,201,,,,
SAOUHSC_00032,16,216,,,,
SAOUHSC_00033,94,3037,,,,
SAOUHSC_00034,22,136,,,,
SAOUHSC_00035,96,2015,,,,
SAOUHSC_00036,117,6653,,,,
SAOUHSC_00037,127,3341,,,,
SAOUHSC_00038,9,3,,,,
SAOUHSC_00039,59,1297,,,,
SAOUHSC_00040,26,557,,,,
SAOUHSC_00041,28,713,,,,
SAOUHSC_00042,140,3026,,,,
SAOUHSC_00043,44,1186,,,,
SAOUHSC_00044,96,2047,,,,
SAOUHSC_00045,59,1413,,,,
SAOUHSC_00046,90,3770,,,,
SAOUHSC_00047,66,2147,,,,
SAOUHSC_00049,272,6733,,,,
SAOUHSC_00050,43,1218,,,,
SAOUHSC_00051,86,2958,,,,
SAOUHSC_00052,78,1760,,,,
SAOUHSC_00053,75,2178,,,,
SAOUHSC_00054,69,2525,,,,
SAOUHSC_00055,75,2952,,,,
SAOUHSC_00056,168,6310,,,,
SAOUHSC_00057,76,3004,,,,
SAOUHSC_00058,122,1998,,,,
SAOUHSC_00060,133,1796,,,,
SAOUHSC_00061,140,3544,,,,
SAOUHSC_00062,97,2662,,,,
SAOUHSC_00064,156,8202,,,,
SAOUHSC_00065,55,2510,,,,
SAOUHSC_00067,136,2147,,,,
SAOUHSC_00069,82,1546,,,,
SAOUHSC_00072,84,1725,,,,
SAOUHSC_00074,79,1531,,,,
SAOUHSC_00075,59,1277,,,,
SAOUHSC_00076,71,747,,,,
SAOUHSC_00077,139,3688,,,,
SAOUHSC_00078,102,2738,,,,
